Text,Sentiment,clean_text,text_len_words,polarity,vader_score,sentiment
"Kickers on my watchlist XIDE TIT SOQ PNK CPW BPZ AJ  trade method 1 or method 2, see prev posts",1,kickers on my watchlist xide tit soq pnk cpw bpz aj trade method 1 or method 2 see prev posts,20,0.0,0.0,Neutral
user: AAP MOVIE. 55% return for the FEA/GEED indicator just 15 trades for the year.  AWESOME.  ,1,user aap movie 55 return for the feageed indicator just 15 trades for the year awesome,16,1.0,0.6249,Positive
user I'd be afraid to short AMZN - they are looking like a near-monopoly in eBooks and infrastructure-as-a-service,1,user id be afraid to short amzn they are looking like a nearmonopoly in ebooks and infrastructureasaservice,17,-0.3,0.3612,Positive
MNTA Over 12.00  ,1,mnta over 1200,3,0.0,0.0,Neutral
OI  Over 21.37  ,1,oi over 2137,3,0.0,0.0,Neutral
PGNX  Over 3.04  ,1,pgnx over 304,3,0.0,0.0,Neutral
AAP - user if so then the current downtrend will break. Otherwise just a short-term correction in med-term downtrend.,-1,aap user if so then the current downtrend will break otherwise just a shortterm correction in medterm downtrend,18,0.0,0.0,Neutral
Monday's relative weakness. NYX WIN TIE TAP ICE INT BMC AON C CHK BIIB  ,-1,mondays relative weakness nyx win tie tap ice int bmc aon c chk biib,14,0.4,0.25,Positive
GOOG - ower trend line channel test & volume support.   ,1,goog ower trend line channel test volume support,8,0.0,0.4019,Positive
AAP will watch tomorrow for ONG entry.,1,aap will watch tomorrow for ong entry,7,0.0,0.0,Neutral
i'm assuming FCX opens tomorrow above the 34.25 trigger buy. still very much like this setup.  ,1,im assuming fcx opens tomorrow above the 3425 trigger buy still very much like this setup,16,0.13,0.4173,Positive
"It really worries me how everyone expects the market to rally now,usually exact opposite happens every time we shall see soon bac spx jpm",1,it really worries me how everyone expects the market to rally nowusually exact opposite happens every time we shall see soon bac spx jpm,24,0.15,-0.4754,Negative
AAP GAMCO's arry Haverty : Apple Is Extremely Cheap  Great Video !!!,1,aap gamcos arry haverty apple is extremely cheap great video,10,0.6000000000000001,0.6573,Positive
user Maykiljil posted that.  I agree that MSFT is going higher & possibly north of 30,1,user maykiljil posted that i agree that msft is going higher possibly north of 30,15,0.125,0.3612,Positive
Momentum is coming back to ETFC Broke MA200 resistance on solid volume Friday. ong set-up  ,1,momentum is coming back to etfc broke ma200 resistance on solid volume friday ong setup,15,0.0,-0.296,Negative
HA Hitting 35.65 means resume targeting 42 level ..  ,1,ha hitting 3565 means resume targeting 42 level,8,0.0,0.34,Positive
user gameplan shot for today but I liked  on trend break from May or c+h break. OC weekly trend break back to july 2011,1,user gameplan shot for today but i liked on trend break from may or ch break oc weekly trend break back to july 2011,24,0.3,0.5719,Positive
with FCX gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1,with fcx gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,21,0.15000000000000002,0.6705,Positive
"user great list again, particularly like FISV and SYK. All buy & hold types should check the free list out.  ",1,user great list again particularly like fisv and syk all buy hold types should check the free list out,19,0.45555555555555555,0.8805,Positive
ATHX upper trend line   ,1,athx upper trend line,4,0.0,0.0,Neutral
NG - nice PNF BY - breakout - need follow thru  ,1,ng nice pnf by breakout need follow thru,8,0.6,0.4215,Positive
Won't believe AAP uptrend is back until it crosses above MA(50),-1,wont believe aap uptrend is back until it crosses above ma50,11,0.0,0.0,Neutral
X swing still on   ,1,x swing still on,4,0.0,0.0,Neutral
SWY - 30% of float short and breaking out - ouch,1,swy 30 of float short and breaking out ouch,9,0.0,0.0,Neutral
BIOF wants 4.90's comin!!!,1,biof wants 490s comin,4,0.2,0.0,Neutral
VS inverted head and shoulder play out well. Wasn't able to catch the entry. Eyes on it  ,1,vs inverted head and shoulder play out well wasnt able to catch the entry eyes on it,17,0.5,0.5423,Positive
" red, not ready for break out.",-1,red not ready for break out,6,-0.05,-0.2755,Negative
EI close to breaking out now.  My trigger is at 30.40.   ,1,ei close to breaking out now my trigger is at 3040,11,0.0,0.0,Neutral
user BAC For a quick Trade to late..But for investing ~11.98 is a good entry point IMHO,1,user bac for a quick trade to latebut for investing 1198 is a good entry point imho,17,0.5166666666666666,0.4404,Positive
"CHDN - ong   49.02. Trailing Stop  56.66 from 6 prior Stops of 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -  ",1,chdn ong 4902 trailing stop 5666 from 6 prior stops of 5417 4988 4982 4547 4302 4192,17,0.0,-0.4215,Negative
AAP VOME today is impressive. At this rate and well probably get to 30M shares traded today.,1,aap vome today is impressive at this rate and well probably get to 30m shares traded today,17,1.0,0.765,Positive
"user: been adding VXY long off the bottom today for trade, also got WPI near low",-1,user been adding vxy long off the bottom today for trade also got wpi near low,16,0.016666666666666666,-0.2732,Negative
"I repeat, if global economy is going to get better this year go with C instead of BAC",1,i repeat if global economy is going to get better this year go with c instead of bac,18,0.25,0.4404,Positive
GOOG go ONG on close above 725.,1,goog go ong on close above 725,7,0.0,0.0,Neutral
NKD looking like a good short. Failed to break price level resistance at 116 today.,-1,nkd looking like a good short failed to break price level resistance at 116 today,15,0.06666666666666665,0.2732,Positive
GS like the price action. So far holding above 130. Still deciding whether to go ONG calls or stocks.,1,gs like the price action so far holding above 130 still deciding whether to go ong calls or stocks,19,0.06666666666666667,0.3612,Positive
SBX buy when it clears resistance at 54.5,1,sbx buy when it clears resistance at 545,8,0.0,0.0772,Neutral
here is NEW up target for AAP and notice shakeout reading at -8.49 ! and we had buy dot Monday  ,1,here is new up target for aap and notice shakeout reading at 849 and we had buy dot monday,19,0.13636363636363635,-0.3182,Negative
Too early to short into this move. Stock Market needs a few days to settle down. #Patience  COH BWD DT AAP PAY,-1,too early to short into this move stock market needs a few days to settle down patience coh bwd dt aap pay,22,-0.0638888888888889,-0.1027,Neutral
AAP obbers hit Apple Store in Paris.  Prefer to take merchendise over cash.  Bullish.  ,1,aap obbers hit apple store in paris prefer to take merchendise over cash bullish,14,0.0,0.0,Neutral
AXA Here is my tip of the day. Buy now! You do not even have to sign up for a newsletter or anything O If I'm wrong I will eat crow :),1,axa here is my tip of the day buy now you do not even have to sign up for a newsletter or anything o if im wrong i will eat crow,31,-0.5,-0.4767,Negative
X out the 1/2 due to the move today and the Kirby on the daily around 26.00 - still swinging 1/2  ,1,x out the 12 due to the move today and the kirby on the daily around 2600 still swinging 12,20,-0.0625,0.0,Neutral
"AAP 10 min short won now longs have fully added in, look for a pop here with market,shakeout reset  ",1,aap 10 min short won now longs have fully added in look for a pop here with marketshakeout reset,19,0.0,0.5719,Positive
NG stellar move - still long swing - full position - I believe user & user in it 2  ,1,ng stellar move still long swing full position i believe user user in it 2,15,0.18333333333333335,0.0,Neutral
ATICE & TADE SETP:  KO AN CNX,1,atice tade setp ko an cnx,6,0.0,0.0,Neutral
IDCC 50SMA acting as a good support. Short-term momentum indicators have switched to the upside.  ,1,idcc 50sma acting as a good support shortterm momentum indicators have switched to the upside,15,0.35,0.6808,Positive
"NEW POST: BAC Is At 19 Month Highs, But Showing Signs of Stress  ",1,new post bac is at 19 month highs but showing signs of stress,13,0.13636363636363635,-0.5719,Negative
c two daily  bull flags on top of each other=bullish still  ,1,c two daily bull flags on top of each otherbullish still,11,0.25,0.2023,Positive
NG - traditional and AT point and figure - bullish BY signals multiyear high  ,1,ng traditional and at point and figure bullish by signals multiyear high,12,0.08,0.0,Neutral
jpm closed>10sma on Monday(u know my rules)...large cup n handle....still bullish  ,1,jpm closed10sma on mondayu know my ruleslarge cup n handlestill bullish,11,0.0,0.0,Neutral
EOG ascending triangle - original target 127 extension EPS Feb 11th? 1/2 position swing  ,1,eog ascending triangle original target 127 extension eps feb 11th 12 position swing,13,0.375,0.3182,Positive
"aapl daily , broke downtrend(from closing prices) now w v pattern back in play.......600 target  ",1,aapl daily broke downtrendfrom closing prices now w v pattern back in play600 target,14,0.0,-0.4215,Negative
PHM PulteGroup Option Bear bets 1.5 Million on 11% down move by April  ,-1,phm pultegroup option bear bets 15 million on 11 down move by april,13,-0.15555555555555559,0.0,Neutral
BAC In a 11.97 for a trade,1,bac in a 1197 for a trade,7,0.0,0.0,Neutral
Short Setups displaying relative weakness: AO COH PAY BWD DT SHD WTW P Prepare to short the stall. ES_F  ,-1,short setups displaying relative weakness ao coh pay bwd dt shd wtw p prepare to short the stall esf,19,0.0,-0.6124,Negative
"When AMZN monetize all electronics it makes with traffic to marketplace, AAP GOOG will wake up and say why didn't we buy EBAY",1,when amzn monetize all electronics it makes with traffic to marketplace aap goog will wake up and say why didnt we buy ebay,23,0.0,0.0,Neutral
"CVI starting with a clean book, making first buy of the yr - entry 49.54 stop 47.43  ",1,cvi starting with a clean book making first buy of the yr entry 4954 stop 4743,16,0.20555555555555557,0.128,Neutral
SAM cheers to the temporary solution to our economic woes - entry 139.81 stop 131.92  ,1,sam cheers to the temporary solution to our economic woes entry 13981 stop 13192,14,0.2,0.0772,Neutral
SK to the GAVE!,-1,sk to the gave,4,0.0,0.0,Neutral
